shareholder,type,holding_date,pct_of_shares,shares_amount,change,turnover,symbol,company_name,industry,close_price_amount,close_price_currency,shares_value
RH Capital Ltd.,Corporation,24 Mar 2022,13.2124%,110347154.0,0,-,T13,RH PetroGas (T13),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.183,SGD ,20193529.182
Subur Tiasa Holdings Berhad,Corporation,24 Mar 2022,2.1073%,17600000.0,0,-,T13,RH PetroGas (T13),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.183,SGD ,3220800.0
Chang (Cheng Hsing Francis),Individual Investor,06 Mar 2023,0.7184%,6000000.0,"1,000,000",LOW,T13,RH PetroGas (T13),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.183,SGD ,1098000.0
Tianjin Pharmaceutical Holdings Ltd.,Corporation,31 Dec 2022,57.1426%,325855528.0,0,LOW,T14,TJ DaRenTang USD (T14/TIAN.SI),"Pharmaceuticals & Medical Research, Pharmaceuticals",2.04,USD ,664745277.12
Feng (Zhihao),Individual Investor,31 Dec 2022,2.4551%,14000000.0,"-14,000,000",MED,T14,TJ DaRenTang USD (T14/TIAN.SI),"Pharmaceuticals & Medical Research, Pharmaceuticals",2.04,USD ,28560000.0
"Bank of Communications Schroder Fund Management Co., Ltd.",Investment Advisor,31 Dec 2022,0.9445%,5386229.0,"5,386,229",LOW,T14,TJ DaRenTang USD (T14/TIAN.SI),"Pharmaceuticals & Medical Research, Pharmaceuticals",2.04,USD ,10987907.16
E Fund Management Co. Ltd.,Investment Advisor,31 Dec 2022,0.8769%,5000770.0,"4,918,480",LOW,T14,TJ DaRenTang USD (T14/TIAN.SI),"Pharmaceuticals & Medical Research, Pharmaceuticals",2.04,USD ,10201570.8
"First Seafront Fund Management Co., Ltd.",Investment Advisor,31 Dec 2022,0.8593%,4900376.0,"4,897,076",MED,T14,TJ DaRenTang USD (T14/TIAN.SI),"Pharmaceuticals & Medical Research, Pharmaceuticals",2.04,USD ,9996767.040000001
Tan Chong Consolidated Sdn. Bhd.,Corporation,31 Dec 2022,35.0577%,705819720.0,0,LOW,T15,TCIL HK$ (T15),"Transportation, Ground Freight & Logistics",1.73,HKD ,1221068115.6
Tan (Eng Soon),Individual Investor,31 Dec 2022,11.8409%,238392972.0,0,LOW,T15,TCIL HK$ (T15),"Transportation, Ground Freight & Logistics",1.73,HKD ,412419841.56
Promenade Group Ltd.,Corporation,31 Dec 2022,10.5333%,212067000.0,0,LOW,T15,TCIL HK$ (T15),"Transportation, Ground Freight & Logistics",1.73,HKD ,366875910.0
Time Strategy Group Ltd.,Corporation,31 Dec 2022,5.1903%,104497700.0,0,LOW,T15,TCIL HK$ (T15),"Transportation, Ground Freight & Logistics",1.73,HKD ,180781021.0
Tan (Kim Hor),Individual Investor,31 Dec 2022,4.6665%,93950159.0,0,LOW,T15,TCIL HK$ (T15),"Transportation, Ground Freight & Logistics",1.73,HKD ,162533775.07
Nuri Holdings (S) Private Limited,Corporation,08 Mar 2022,51.0729%,638956697.0,0,-,T24,Tuan Sing (T24/TSHS.SI),"Real Estate, Real Estate Development & Operations",0.295,SGD ,188492225.61499998
Koh (Wee Meng),Individual Investor,08 Mar 2022,5.9309%,74200000.0,"4,743,000",-,T24,Tuan Sing (T24/TSHS.SI),"Real Estate, Real Estate Development & Operations",0.295,SGD ,21889000.0
"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,31 May 2023,1.9169%,23981998.0,0,LOW,T24,Tuan Sing (T24/TSHS.SI),"Real Estate, Real Estate Development & Operations",0.295,SGD ,7074689.409999999
Lamipak KMP Pte. Ltd.,Corporation,08 Mar 2022,0.3503%,4382393.0,0,-,T24,Tuan Sing (T24/TSHS.SI),"Real Estate, Real Estate Development & Operations",0.295,SGD ,1292805.9349999998
Tan (Thian Hwee),Individual Investor,08 Mar 2022,0.3375%,4222217.0,"362,257",-,T24,Tuan Sing (T24/TSHS.SI),"Real Estate, Real Estate Development & Operations",0.295,SGD ,1245554.015
Temasek Holdings Pte. Ltd.,Sovereign Wealth Fund,08 Mar 2022,50.3799%,228937500.0,0,LOW,T41,TeleChoice Intl (T41),"Technology Equipment, Phones & Handheld Devices",0.082,SGD ,18772875.0
Lim (Chai Hock Clive),Individual Investor,08 Mar 2022,18.4822%,83987200.0,0,-,T41,TeleChoice Intl (T41),"Technology Equipment, Phones & Handheld Devices",0.082,SGD ,6886950.4
Tan (Chwee Huat),Individual Investor,08 Mar 2022,1.1069%,5030000.0,0,-,T41,TeleChoice Intl (T41),"Technology Equipment, Phones & Handheld Devices",0.082,SGD ,412460.0
Wong (Mae Sum Pauline),Individual Investor,08 Mar 2022,0.8206%,3728778.0,0,-,T41,TeleChoice Intl (T41),"Technology Equipment, Phones & Handheld Devices",0.082,SGD ,305759.79600000003
Ng (Hian Chow),Individual Investor,08 Mar 2022,0.8070%,3667100.0,"28,100",-,T41,TeleChoice Intl (T41),"Technology Equipment, Phones & Handheld Devices",0.082,SGD ,300702.2
"Yunnan Provincial Energy Investment Group Co., Ltd.",Corporation,31 Dec 2021,73.0465%,201196995.0,0,LOW,T43,Yunnan Energy (T43),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.109,SGD ,21930472.455
Yao (Jianhui),Individual Investor,22 Jun 2022,4.9303%,13580000.0,"13,580,000",-,T43,Yunnan Energy (T43),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.109,SGD ,1480220.0
Proficient Power Ltd.,Corporation,22 Jun 2022,2.6260%,7233000.0,"7,233,000",LOW,T43,Yunnan Energy (T43),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.109,SGD ,788397.0
Tamsett Holdings Ltd,Corporation,29 Dec 2022,39.9168%,96473203.0,0,-,T55,TIH (T55),"Collective Investments, Closed End Funds",0.21,SGD ,20259372.63
Argyle Street Management Limited,Hedge Fund,25 Oct 2022,23.3609%,56460089.0,"3,044,823",LOW,T55,TIH (T55),"Collective Investments, Closed End Funds",0.21,SGD ,11856618.69
Transpac Investments Limited,Corporation,07 Mar 2022,10.1686%,24576126.0,0,-,T55,TIH (T55),"Collective Investments, Closed End Funds",0.21,SGD ,5160986.46
Wang (Ya Lun Allen),Individual Investor,21 Jan 2022,0.5503%,1329900.0,0,-,T55,TIH (T55),"Collective Investments, Closed End Funds",0.21,SGD ,279279.0
Lim (Kim Phang),Individual Investor,07 Mar 2022,0.5317%,1285000.0,"100,000",-,T55,TIH (T55),"Collective Investments, Closed End Funds",0.21,SGD ,269850.0
Yeah Holdings Pte. Ltd.,Corporation,29 Jun 2022,64.9730%,475399943.0,"24,771,394",-,T6I,ValueMax (T6I),"Retailers, Apparel & Accessories Retailers",0.325,SGD ,154504981.475
Yeah (Hiang Nam),Individual Investor,29 Jun 2022,17.9825%,131575642.0,"6,855,936",-,T6I,ValueMax (T6I),"Retailers, Apparel & Accessories Retailers",0.325,SGD ,42762083.65
Sik (Pei Shan),Individual Investor,17 Mar 2022,0.4984%,3647000.0,"592,976",-,T6I,ValueMax (T6I),"Retailers, Apparel & Accessories Retailers",0.325,SGD ,1185275.0
Sik (Soo Ching Susan),Individual Investor,17 Mar 2022,0.4958%,3628000.0,"734,964",-,T6I,ValueMax (T6I),"Retailers, Apparel & Accessories Retailers",0.325,SGD ,1179100.0
Gan (Suat Lui),Individual Investor,17 Mar 2022,0.3708%,2713000.0,0,-,T6I,ValueMax (T6I),"Retailers, Apparel & Accessories Retailers",0.325,SGD ,881725.0
ESR Group Limited,Investment Advisor,01 Mar 2023,9.0158%,260541467.0,0,LOW,T82U,Suntec Reit (T82U),"Real Estate, Commercial REITs",0.0,1.27,0.0
Tang (Celine),Individual Investor,01 Mar 2023,8.0078%,231412894.0,0,LOW,T82U,Suntec Reit (T82U),"Real Estate, Commercial REITs",0.0,1.27,0.0
Tang (Yigang),Individual Investor,01 Mar 2023,7.7575%,224180227.0,0,LOW,T82U,Suntec Reit (T82U),"Real Estate, Commercial REITs",0.0,1.27,0.0
Yang (Chanzhen),Individual Investor,09 Jun 2023,7.2560%,209686100.0,"16,500,500",LOW,T82U,Suntec Reit (T82U),"Real Estate, Commercial REITs",0.0,1.27,0.0
Tang (Jialin),Individual Investor,01 Mar 2023,6.9730%,201508300.0,0,LOW,T82U,Suntec Reit (T82U),"Real Estate, Commercial REITs",0.0,1.27,0.0
Koo (Chiang),Individual Investor,16 Mar 2022,63.9727%,147386639.0,"1,425,000",-,TCU,CreditBureauAsia (TCU),"Industrial & Commercial Services, Professional Information Services",0.955,SGD ,140754240.245
Lim (Wah Liang William),Individual Investor,06 Jun 2022,6.1804%,14239000.0,"-3,000,000",-,TCU,CreditBureauAsia (TCU),"Industrial & Commercial Services, Professional Information Services",0.955,SGD ,13598245.0
First Sentier Investors,Investment Advisor,31 Jan 2023,3.1442%,7243900.0,0,LOW,TCU,CreditBureauAsia (TCU),"Industrial & Commercial Services, Professional Information Services",0.955,SGD ,6917924.5
abrdn Asia Limited,Investment Advisor,30 Sep 2022,2.2197%,5114000.0,0,LOW,TCU,CreditBureauAsia (TCU),"Industrial & Commercial Services, Professional Information Services",0.955,SGD ,4883870.0
Moh (Swee Yong),Individual Investor,16 Mar 2022,0.6880%,1585000.0,"160,000",-,TCU,CreditBureauAsia (TCU),"Industrial & Commercial Services, Professional Information Services",0.955,SGD ,1513675.0
TCC Assets Limited,Corporation,30 Nov 2022,58.1028%,2281139368.0,0,-,TQ5,Frasers Property (TQ5/FRPL.SI),"Real Estate, Real Estate Development & Operations",0.86,SGD ,1961779856.48
Thai Beverage PCL,Corporation,30 Nov 2022,28.7832%,1130041272.0,0,LOW,TQ5,Frasers Property (TQ5/FRPL.SI),"Real Estate, Real Estate Development & Operations",0.86,SGD ,971835493.92
Wong (Ghan),Individual Investor,28 Nov 2022,0.1894%,7434404.0,"3,461,800",LOW,TQ5,Frasers Property (TQ5/FRPL.SI),"Real Estate, Real Estate Development & Operations",0.86,SGD ,6393587.4399999995
Lim (Ee Seng),Individual Investor,28 Nov 2022,0.1165%,4573329.0,0,-,TQ5,Frasers Property (TQ5/FRPL.SI),"Real Estate, Real Estate Development & Operations",0.86,SGD ,3933062.94
Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,31 Dec 2022,0.0955%,3750562.0,"-155,563",LOW,TQ5,Frasers Property (TQ5/FRPL.SI),"Real Estate, Real Estate Development & Operations",0.86,SGD ,3225483.32
Clifford Development Pte. Ltd.,Corporation,02 Mar 2023,26.8771%,1471601271.0,0,LOW,TS0U,OUE Com Reit (TS0U),"Real Estate, Commercial REITs",0.0,0.32,0.0
OUE Ltd,Corporation,02 Mar 2023,21.5102%,1177747285.0,"21,265,471",LOW,TS0U,OUE Com Reit (TS0U),"Real Estate, Commercial REITs",0.0,0.32,0.0
Tang (Yigang),Individual Investor,02 Mar 2023,7.2546%,397213888.0,0,LOW,TS0U,OUE Com Reit (TS0U),"Real Estate, Commercial REITs",0.0,0.32,0.0
Yang (Chanzhen),Individual Investor,02 Mar 2023,4.8965%,268100000.0,0,LOW,TS0U,OUE Com Reit (TS0U),"Real Estate, Commercial REITs",0.0,0.32,0.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,1.2357%,67656044.0,"-100,200",LOW,TS0U,OUE Com Reit (TS0U),"Real Estate, Commercial REITs",0.0,0.32,0.0
Ching (Chiat Kwong),Individual Investor,09 May 2023,27.8516%,76826612.0,"141,000",LOW,TVV,OxPay Financial (TVV),"Industrial & Commercial Services, Business Support Services",0.074,SGD ,5685169.288
Koh (Beng Kiok Anthony),Individual Investor,23 Feb 2022,4.8198%,13295093.0,"-2,716,800",-,TVV,OxPay Financial (TVV),"Industrial & Commercial Services, Business Support Services",0.074,SGD ,983836.882
Goh (Way Siong),Individual Investor,17 Mar 2022,3.4224%,9440563.0,"-2,605,700",-,TVV,OxPay Financial (TVV),"Industrial & Commercial Services, Business Support Services",0.074,SGD ,698601.662
Lee (Yew Shin),Individual Investor,17 Mar 2022,3.1567%,8707626.0,"-1,187,403",-,TVV,OxPay Financial (TVV),"Industrial & Commercial Services, Business Support Services",0.074,SGD ,644364.324
Tee (Wee Sien),Individual Investor,17 Mar 2022,2.8780%,7938866.0,"-1,527,900",LOW,TVV,OxPay Financial (TVV),"Industrial & Commercial Services, Business Support Services",0.074,SGD ,587476.0839999999
Tay (Kiat Seng),Individual Investor,06 Sep 2022,52.7961%,348861099.0,"-6,174,000",-,TWL,Memiontec Hldgs (TWL),"Utilities, Water Utilities",0.21,SGD ,73260830.78999999
Soelistyo (Dewi Soegiharto),Individual Investor,18 Mar 2022,15.8035%,104425239.0,0,-,TWL,Memiontec Hldgs (TWL),"Utilities, Water Utilities",0.21,SGD ,21929300.189999998
Unity Strength Pte. Ltd.,Corporation,06 Sep 2022,12.0117%,79369662.0,0,-,TWL,Memiontec Hldgs (TWL),"Utilities, Water Utilities",0.21,SGD ,16667629.02
Yeo (Khee Seng Benny),Individual Investor,18 Mar 2022,4.5402%,30000000.0,0,LOW,TWL,Memiontec Hldgs (TWL),"Utilities, Water Utilities",0.21,SGD ,6300000.0
Ng (Zhi Peng Robin),Individual Investor,18 Mar 2022,3.5742%,23617500.0,"511,500",-,TWL,Memiontec Hldgs (TWL),"Utilities, Water Utilities",0.21,SGD ,4959675.0
Wee (Cho Yaw),Individual Investor,14 Mar 2022,50.3664%,721582791.0,0,LOW,U06,SingaporeLandGrp (U06),"Real Estate, Real Estate Development & Operations",2.08,SGD ,1500892205.28
JG Summit Holdings Inc,Corporation,14 Mar 2022,37.0447%,530727364.0,0,LOW,U06,SingaporeLandGrp (U06),"Real Estate, Real Estate Development & Operations",2.08,SGD ,1103912917.1200001
FMR Investment Management (U.K.) Limited,Investment Advisor,30 Apr 2023,0.6310%,9040100.0,"-133,900",LOW,U06,SingaporeLandGrp (U06),"Real Estate, Real Estate Development & Operations",2.08,SGD ,18803408.0
Cheong (Soh Chin Julie),Individual Investor,14 Mar 2022,0.5152%,7381133.0,0,-,U06,SingaporeLandGrp (U06),"Real Estate, Real Estate Development & Operations",2.08,SGD ,15352756.64
"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,31 May 2023,0.2756%,3947881.0,"-45,800",LOW,U06,SingaporeLandGrp (U06),"Real Estate, Real Estate Development & Operations",2.08,SGD ,8211592.48
Tong (Kooi Ong),Individual Investor,16 Mar 2022,31.0862%,295364000.0,0,LOW,U09,Avarga (U09),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.197,SGD ,58186708.0
Lim (Eng Hock),Individual Investor,16 Mar 2022,19.2862%,183246925.0,0,-,U09,Avarga (U09),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.197,SGD ,36099644.225
Khoo (Poh Koon),Individual Investor,16 Mar 2022,0.6050%,5748001.0,0,-,U09,Avarga (U09),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.197,SGD ,1132356.1970000002
Tan (Guan Hong),Individual Investor,16 Mar 2022,0.5906%,5611800.0,"5,611,800",-,U09,Avarga (U09),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.197,SGD ,1105524.6
"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,31 May 2023,0.5682%,5398800.0,0,LOW,U09,Avarga (U09),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.197,SGD ,1063563.6
United Overseas Bank Ltd. (UOB),Bank and Trust,23 Jun 2023,34.4337%,313360043.0,0,LOW,U10,UOB Kay Hian (U10),"Banking & Investment Services, Investment Banking & Brokerage Services",1.39,SGD ,435570459.77
UIP Holdings Ltd.,Corporation,23 Jun 2023,21.6958%,197440042.0,"9,133,696",-,U10,UOB Kay Hian (U10),"Banking & Investment Services, Investment Banking & Brokerage Services",1.39,SGD ,274441658.38
Wee (Ee Chao),Individual Investor,23 Jun 2023,12.0142%,109333451.0,"5,057,832",LOW,U10,UOB Kay Hian (U10),"Banking & Investment Services, Investment Banking & Brokerage Services",1.39,SGD ,151973496.89
Tang (Wee Loke),Individual Investor,23 Jun 2023,4.9642%,45175840.0,"2,070,311",LOW,U10,UOB Kay Hian (U10),"Banking & Investment Services, Investment Banking & Brokerage Services",1.39,SGD ,62794417.599999994
"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,31 May 2023,0.5828%,5303699.0,0,LOW,U10,UOB Kay Hian (U10),"Banking & Investment Services, Investment Banking & Brokerage Services",1.39,SGD ,7372141.609999999
Wee Investments Pte. Ltd.,Corporation,03 Mar 2023,7.9169%,133472324.0,0,LOW,U11,UOB (U11/UOBH.SI),"Banking & Investment Services, Banks",27.72,SGD ,3699852821.2799997
Wah Hin &amp; Co Pte Ltd,Investment Advisor,03 Mar 2023,5.1418%,86686453.0,0,LOW,U11,UOB (U11/UOBH.SI),"Banking & Investment Services, Banks",27.72,SGD ,2402948477.16
Tai Tak Estates Sdn. Bhd.,Corporation,03 Mar 2023,4.0808%,68800000.0,0,LOW,U11,UOB (U11/UOBH.SI),"Banking & Investment Services, Banks",27.72,SGD ,1907136000.0
Capital Research Global Investors,Investment Advisor,31 Mar 2023,2.2428%,37811231.0,"8,230,239",LOW,U11,UOB (U11/UOBH.SI),"Banking & Investment Services, Banks",27.72,SGD ,1048127323.3199999
C.Y. Wee &amp; Company Pte. Ltd.,Corporation,03 Mar 2023,2.2410%,37781750.0,0,LOW,U11,UOB (U11/UOBH.SI),"Banking & Investment Services, Banks",27.72,SGD ,1047310110.0
United Overseas Bank Ltd.,Corporation,09 Mar 2023,58.3885%,35707500.0,0,LOW,U13,UOI (U13),"Insurance, Multiline Insurance & Brokers",6.09,SGD ,217458675.0
Thia (Cheng Song),Individual Investor,09 Mar 2023,1.9328%,1182000.0,"81,000",LOW,U13,UOI (U13),"Insurance, Multiline Insurance & Brokers",6.09,SGD ,7198380.0
Ng (Poh Cheng),Individual Investor,09 Mar 2023,1.6444%,1005650.0,"39,700",LOW,U13,UOI (U13),"Insurance, Multiline Insurance & Brokers",6.09,SGD ,6124408.5
Chong (Chin Chin),Individual Investor,09 Mar 2023,1.5758%,963666.0,"401,666",LOW,U13,UOI (U13),"Insurance, Multiline Insurance & Brokers",6.09,SGD ,5868725.9399999995
Chong (Kian Chun),Individual Investor,09 Mar 2023,1.5439%,944168.0,"401,668",LOW,U13,UOI (U13),"Insurance, Multiline Insurance & Brokers",6.09,SGD ,5749983.12
Wee Investments Pte. Ltd.,Corporation,27 Mar 2023,15.7073%,132711664.0,"300,000",LOW,U14,UOL (U14/UTOS.SI),"Real Estate, Real Estate Development & Operations",6.31,SGD ,837410599.8399999
C.Y. Wee &amp; Company Pte. Ltd.,Corporation,27 Mar 2023,13.6302%,115162017.0,0,LOW,U14,UOL (U14/UTOS.SI),"Real Estate, Real Estate Development & Operations",6.31,SGD ,726672327.27
Haw Par Corporation Ltd,Corporation,27 Mar 2023,8.5270%,72044768.0,0,-,U14,UOL (U14/UTOS.SI),"Real Estate, Real Estate Development & Operations",6.31,SGD ,454602486.08
United Overseas Bank Ltd.,Corporation,07 Mar 2023,7.0190%,59304198.0,"-185,000",LOW,U14,UOL (U14/UTOS.SI),"Real Estate, Real Estate Development & Operations",6.31,SGD ,374209489.38
"Silchester International Investors, L.L.P.",Investment Advisor/Hedge Fund,07 Mar 2023,5.5184%,46624966.0,"-2,991,600",LOW,U14,UOL (U14/UTOS.SI),"Real Estate, Real Estate Development & Operations",6.31,SGD ,294203535.46
First Israel Mezzanine Investors Ltd.,Private Equity,29 Mar 2023,10.8945%,38853937.0,"38,853,937",LOW,U77,Sarine Tech (U77),"Industrial Goods, Industrial Machinery & Equipment",0.41,SGD ,15930114.17
Shareholder Value Management AG,Investment Advisor,30 Nov 2022,9.0933%,32430000.0,0,MED,U77,Sarine Tech (U77),"Industrial Goods, Industrial Machinery & Equipment",0.41,SGD ,13296300.0
Axxion S.A.,Investment Advisor,08 Mar 2023,9.0271%,32193900.0,0,LOW,U77,Sarine Tech (U77),"Industrial Goods, Industrial Machinery & Equipment",0.41,SGD ,13199499.0
Eshed (Avraham),Individual Investor,21 Jan 2023,4.2415%,15126922.0,0,LOW,U77,Sarine Tech (U77),"Industrial Goods, Industrial Machinery & Equipment",0.41,SGD ,6202038.02
Baader Bank AG,Investment Advisor/Hedge Fund,30 Nov 2022,3.5767%,12755900.0,0,MED,U77,Sarine Tech (U77),"Industrial Goods, Industrial Machinery & Equipment",0.41,SGD ,5229919.0
Temasek Holdings Pte. Ltd.,Sovereign Wealth Fund,01 Mar 2023,49.3103%,881444603.0,0,LOW,U96,Sembcorp Ind (U96/SCIL.SI),"Utilities, Multiline Utilities",5.59,SGD ,4927275330.7699995
Capital Research Global Investors,Investment Advisor,31 Mar 2023,2.5339%,45294100.0,"26,706,500",LOW,U96,Sembcorp Ind (U96/SCIL.SI),"Utilities, Multiline Utilities",5.59,SGD ,253194019.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,1.3698%,24485958.0,"200,600",LOW,U96,Sembcorp Ind (U96/SCIL.SI),"Utilities, Multiline Utilities",5.59,SGD ,136876505.22
"Lazard Asset Management, L.L.C.",Investment Advisor/Hedge Fund,31 May 2023,1.0426%,18636100.0,"160,000",LOW,U96,Sembcorp Ind (U96/SCIL.SI),"Utilities, Multiline Utilities",5.59,SGD ,104175799.0
Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,31 Dec 2022,0.8478%,15155186.0,"12,717",LOW,U96,Sembcorp Ind (U96/SCIL.SI),"Utilities, Multiline Utilities",5.59,SGD ,84717489.74
China Everbright Environment Group Ltd,Corporation,02 Mar 2023,72.8701%,2084724572.0,0,LOW,U9E,China Everbright (U9E),"Utilities, Water Utilities",0.21,SGD ,437792160.12
Heng (Siew Eng),Individual Investor,02 Mar 2023,0.2329%,6662300.0,"157,300",LOW,U9E,China Everbright (U9E),"Utilities, Water Utilities",0.21,SGD ,1399083.0
iFAST Financial Pte. Ltd.,Corporation,02 Mar 2023,0.1702%,4868613.0,"4,868,613",LOW,U9E,China Everbright (U9E),"Utilities, Water Utilities",0.21,SGD ,1022408.73
Asdew Acquisitions Pte. Ltd.,Corporation,02 Mar 2023,0.1599%,4573353.0,"203,900",LOW,U9E,China Everbright (U9E),"Utilities, Water Utilities",0.21,SGD ,960404.13
Kuek (Siaw Kia),Individual Investor,02 Mar 2023,0.1315%,3760788.0,"724,800",LOW,U9E,China Everbright (U9E),"Utilities, Water Utilities",0.21,SGD ,789765.48
Tikehau Investment Management,Investment Advisor,16 Mar 2022,28.7349%,332144083.0,"58,563,281",MED,UD1U,IREIT Global SGD (UD1U),"Real Estate, Commercial REITs",0.0,0.43,0.0
City Strategic Equity Pte Ltd,Corporation,16 Mar 2022,20.7582%,239942191.0,"41,894,793",-,UD1U,IREIT Global SGD (UD1U),"Real Estate, Commercial REITs",0.0,0.43,0.0
Tiku (Arvind),Individual Investor,15 Aug 2022,4.9818%,57583987.0,"-900,000",-,UD1U,IREIT Global SGD (UD1U),"Real Estate, Commercial REITs",0.0,0.43,0.0
iFAST Financial Pte. Ltd.,Corporation,16 Mar 2022,0.4551%,5260494.0,"2,587,206",LOW,UD1U,IREIT Global SGD (UD1U),"Real Estate, Commercial REITs",0.0,0.43,0.0
IREIT Global Group Pte. Ltd.,Corporation,07 Apr 2022,0.4254%,4917028.0,"1,299,826",-,UD1U,IREIT Global SGD (UD1U),"Real Estate, Commercial REITs",0.0,0.43,0.0
Rangi Management Ltd.,Corporation,06 Mar 2023,51.3672%,1061976500.0,0,-,UD2,Japfa (UD2),"Food & Beverages, Food Processing",0.23,SGD ,244254595.0
Morze International Ltd.,Corporation,03 Mar 2023,15.0322%,310779793.0,0,LOW,UD2,Japfa (UD2),"Food & Beverages, Food Processing",0.23,SGD ,71479352.39
Tasburgh Ltd.,Corporation,06 Mar 2023,5.1617%,106714375.0,0,LOW,UD2,Japfa (UD2),"Food & Beverages, Food Processing",0.23,SGD ,24544306.25
Tallowe Services Inc.,Corporation,06 Mar 2023,3.2843%,67900000.0,"200,000",MED,UD2,Japfa (UD2),"Food & Beverages, Food Processing",0.23,SGD ,15617000.0
Great Delta Investments Ltd.,Corporation,03 Mar 2023,2.5636%,53000000.0,0,LOW,UD2,Japfa (UD2),"Food & Beverages, Food Processing",0.23,SGD ,12190000.0
Sim (Choo Kheng),Individual Investor,22 Mar 2022,55.2926%,91434730.0,0,-,URR,Sim Leisure (URR),"Cyclical Consumer Services, Leisure & Recreation",0.345,SGD ,31544981.849999998
Desamal Capital Sdn Bhd,Corporation,11 Aug 2022,26.0132%,43016700.0,"454,000",LOW,URR,Sim Leisure (URR),"Cyclical Consumer Services, Leisure & Recreation",0.345,SGD ,14840761.499999998
Yeoh (Seng Hooi),Individual Investor,22 Mar 2022,1.2175%,2013375.0,0,-,URR,Sim Leisure (URR),"Cyclical Consumer Services, Leisure & Recreation",0.345,SGD ,694614.375
Tan (Boon Seng Bernon),Individual Investor,11 Aug 2022,1.2094%,2000000.0,0,-,URR,Sim Leisure (URR),"Cyclical Consumer Services, Leisure & Recreation",0.345,SGD ,690000.0
Georgieva (Silviya Georgieva),Individual Investor,22 Mar 2022,0.4024%,665395.0,0,-,URR,Sim Leisure (URR),"Cyclical Consumer Services, Leisure & Recreation",0.345,SGD ,229561.275
Soong (Chin Kum Jonathan Lloyd),Individual Investor,09 Jun 2023,56.0000%,73920000.0,"73,920,000",-,UUK,Pasture Holdings (UUK/PAST.SI),"Healthcare Services, Advanced Medical Equipment & Technology",0.173,SGD ,12788159.999999998
Plutus Star Holding Pte. Ltd.,Corporation,09 Jun 2023,28.8485%,38080000.0,"38,080,000",-,UUK,Pasture Holdings (UUK/PAST.SI),"Healthcare Services, Advanced Medical Equipment & Technology",0.173,SGD ,6587839.999999999
Wong (Ngit Liong),Individual Investor,08 Mar 2023,7.0873%,20695219.0,0,LOW,V03,Venture (V03),"Technology Equipment, Electronic Equipment & Parts",14.88,SGD ,307944858.72
Schroder Investment Management (Singapore) Ltd.,Investment Advisor/Hedge Fund,08 Mar 2023,6.0648%,17709469.0,"-2,118,500",LOW,V03,Venture (V03),"Technology Equipment, Electronic Equipment & Parts",14.88,SGD ,263516898.72000003
"BlackRock Institutional Trust Company, N.A.",Investment Advisor,08 Jun 2023,5.9784%,17457219.0,"-10,318",LOW,V03,Venture (V03),"Technology Equipment, Electronic Equipment & Parts",14.88,SGD ,259763418.72
Columbia Threadneedle Investments (US),Investment Advisor/Hedge Fund,30 Apr 2023,3.6037%,10522900.0,"142,200",LOW,V03,Venture (V03),"Technology Equipment, Electronic Equipment & Parts",14.88,SGD ,156580752.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,2.5943%,7575429.0,"25,100",LOW,V03,Venture (V03),"Technology Equipment, Electronic Equipment & Parts",14.88,SGD ,112722383.52000001
Lee (Shieh Peen Clement),Individual Investor,14 Mar 2022,20.1686%,71373669.0,0,-,V2Y,V2Y Corp (V2Y),"Insurance, Multiline Insurance & Brokers",0.019,SGD ,1356099.711
Tai (Lai Fun Cindy),Individual Investor,14 Mar 2022,4.2099%,14898250.0,0,LOW,V2Y,V2Y Corp (V2Y),"Insurance, Multiline Insurance & Brokers",0.019,SGD ,283066.75
Teo (Eugene),Individual Investor,14 Mar 2022,3.1790%,11250000.0,"11,250,000",-,V2Y,V2Y Corp (V2Y),"Insurance, Multiline Insurance & Brokers",0.019,SGD ,213750.0
Lee (Yue Zanetta),Individual Investor,14 Mar 2022,2.9931%,10592190.0,0,-,V2Y,V2Y Corp (V2Y),"Insurance, Multiline Insurance & Brokers",0.019,SGD ,201251.61
Tai (Ho Yan),Individual Investor,14 Mar 2022,2.5591%,9056250.0,0,-,V2Y,V2Y Corp (V2Y),"Insurance, Multiline Insurance & Brokers",0.019,SGD ,172068.75
